Shell Index (n),Redshift (z),Raw FUT Shell (Mpc),Hydrated Shell (Mpc)
11,1.2,106536.19,1000
12,1.44,172379.18,1000
13,1.68,278915.37,1000
14,1.92,451294.55,1000
15,2.16,730209.92,1000
16,2.4,1181504.47,1000
17,2.64,1911714.39,1000
18,2.88,3093218.86,1000
19,3.12,5004933.25,1000
20,3.36,8098152.12,1000
21,3.6,13103085.37,1000
22,3.84,21201237.49,1000
23,4.08,34304322.86,1000
24,4.32,55505560.35,1000
25,4.56,89809883.21,1000
26,4.8,145315443.55,1000
27,5.04,235125326.76,1000
28,5.28,380440770.32,1000
29,5.52,615566097.08,1000
30,5.76,996006867.4,1000
